ages,rates
54,51.82364033355903
67,51.3496766143558
44,59.3946324865362
30,35.08433939350163
58,62.730725203151785
23,23.516738694512224
36,45.17712799952074
54,65.26088504305915
73,30.122119903156246
34,32.88914716175922
38,48.497421758412116
26,44.368150736826856
26,34.271135479465066
39,43.785727292994046
68,71.865784632233
51,63.22993390588818
55,43.56418062952301
39,44.45410980120757
18,27.36169002135515
37,58.99599374013687
68,64.42070516042799
17,21.574239000983763
39,45.49074328803621
59,34.85116510766106
45,56.93628484627345
53,57.86732788723247
17,34.73156433225102
75,54.8095070172548
36,42.320410685584605
48,44.14661650720275
27,21.72945093844259
73,50.18743797117824
37,23.61699550470071
59,62.83605515594084
40,22.251174973469027
64,75.3614252595922
42,27.718731006999178
74,71.23888675675198
57,43.92945956429562
43,51.6203306747106
75,48.72553299673131
31,53.62748159391383
30,36.437026680842735
62,65.29682012098752
66,56.20048039896385
59,57.21959975538902
70,62.161066540197496
67,50.32276014500296
72,43.35708871764744
18,10.74396674258
52,51.46842569136156
66,50.5535991461192
22,6.701432401500583
36,46.169412507914956
24,18.05510358713415
54,40.236749747306945
33,38.193739657130756
19,15.888843419260867
40,45.22505498339519
75,75.98460891602558
29,31.299423538176793
65,44.65420853783351
73,58.0250697762731
24,22.487682063323128
41,44.92751481997747
68,58.916359766812384
17,22.258030615375162
35,40.81558949589168
43,47.93090380632649
62,70.53112722520811
75,53.72080695893005
22,29.4343440666809
59,62.358490633421425
23,33.92036831418021
62,50.97790799509221
50,59.01863437017887
29,26.37753118885071
32,35.49250572701774
51,42.77913459495559
65,61.01174599471101
55,64.14599781284748
19,27.123361586963554
17,23.362659459291876
21,18.33991332541924
69,48.86448882879836
57,41.07739884361574
19,3.123186107278176
69,51.97965998769508
44,43.65894730647035
33,60.33842295373306
41,60.318135662081104
59,59.24640239633534
49,70.33477230541564
25,45.15903496185275
51,30.414319786372257
29,45.76456172234752
46,54.95454265194827
63,51.91622052867309
30,21.84797480482485
23,35.16401135710423
29,14.29872277025504
38,42.345250376253404
75,50.07909591713125
72,43.571579584478044
55,64.13801007652205
36,40.62691569419227
31,38.6296632916957
60,63.078719472424275
33,38.52209443696644
62,59.07411198647498
68,63.91851620489089
39,48.95755926918826
41,47.54980166188284
40,61.83112835375057
75,68.66970598009856
75,55.39236830767166
75,47.153070498515476
60,60.38623649837644
56,54.798606481890054
44,63.72995663188834
30,45.87493005700723
60,61.64204388001908
16,21.56951537954095
40,35.24301258332758
22,26.180370312986845
24,35.008280943241104
39,25.994199069908543
16,33.85713959652344
59,74.3604400175138
23,9.760607096292503
39,29.287844489864643
26,34.536624642331404
66,49.61419084365066
32,40.36906433831673
23,28.49325963442563
50,39.76181480510945
50,62.8840634017849
48,53.605166052428494
74,50.64258025271728
20,41.05025114660821
57,47.92594045106247
54,39.42159483294467
73,58.04511823087736
56,56.171576232226656
43,51.32916892218846
22,35.12351126652487
24,35.40124728577691
23,33.964936414491746
27,27.472461996918355
49,42.68255725429446
48,56.38364916259118
63,57.24456510699888
70,64.20245739486255
38,25.487228443724018
39,38.282136175824064
52,70.03018901910556
50,55.52533152347441
59,56.64550450979152
55,59.329243669696744
37,63.894505258661816
42,65.34049542287028
50,34.204792426874064
16,9.334988409306318
50,33.86589344449208
52,43.488921110597374
62,55.10919298652257
29,37.51015144067797
18,8.455212568127472
16,2.766481736308908
20,18.352086130445493
41,53.8517126560462
70,66.90362911693646
29,52.14824859337686
54,51.51669749074886
42,53.641534903901054
24,40.338949610496606
30,31.031409673273785
30,39.878448815304665
41,51.27705125709754
57,43.91842382914876
75,72.67096171107443
28,33.771877172799734
66,56.31035228146672
47,38.93658620057875
54,44.04573804122467
64,33.07485399167991
67,56.16155876418612
47,73.46689209641971
19,14.703805518955129
45,77.01196928154972
52,65.10251262612414
38,37.82411219022892
54,52.11264704818879
60,52.64899692085063
30,53.06163973397712
58,58.5301573011796
44,58.459740486218145
51,54.07171845361348
28,33.04027479405382
47,51.67423365070714
22,24.090557661279185
74,41.717959565291025
66,63.57688575956651
37,26.798355516569135
43,43.32165823204824
17,18.211357123845822
57,59.4435393105407
60,69.64704584933529
72,68.20970647300749
68,62.48425018895093
21,20.79128354379218
43,44.17530846403536
43,42.717262929441816
59,48.98718553270556
59,49.66548891373162
35,35.95861964932409
45,42.51573807299504
26,41.75883018028554
73,45.66363111133908
70,48.705258976961694
43,30.17593278960488
40,58.154828025108486
54,43.87497041342414
48,55.567752317221405
16,26.19318860212307
72,69.3483862109077
42,43.25983301624906
72,46.68460212714088
67,40.05250024128372
28,6.313643552178995
56,54.25353225878903
18,31.51472572488914
54,56.55688105197841
21,11.792356968271921
23,39.59826145111929
42,38.37783971684647
24,21.17096505858246
52,43.753677646968164
48,49.74408922506077
66,40.59298428482928
57,52.63964086280882
59,57.98448245383669
39,54.36323896243615
30,37.75956657221244
74,42.843715018062085
69,57.37890227652224
47,37.8074172605388
47,37.230548436330494
39,29.66296396460021
56,33.52746320105976
67,49.93836832064605
64,66.32888743046908
64,77.60484015427542
73,50.47414841659906
67,66.47105526769656
27,29.264176817634052
54,35.33264280551439
17,29.61942261446077
18,26.10814086795566
64,73.22019607961116
52,35.613215180172446
64,83.00032708335277
71,72.00717323188155
32,37.58076426438146
